Name,Price,Rating,Brand,Page,Processor,RAM,Storage,Display,Graphics,Operating_System
"Lenovo IdeaPad Slim 3, Intel Core i3, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, 1Yr ADP Free Laptop","33,990",,Lenovo,1,Intel Core i3,8 GB,512GB SSD,,Intel UHD Graphics,Windows 11
"Dell 15 3520 Thin & Light Laptop, Intel Core i3-1215U Processor, 12th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /Intel UHD Graphics/15 Month Mcafee /Black /1.69Kg","38,364",,Dell,1,Intel Core i3-1215U Processor,8 GB,512GB SSD,,Intel UHD Graphics,
"Acer One 11 Intel Celeron N4500 (Windows 11 Home/ 8 GB/ 256 GB SSD) 29.64 cm (11.6"") Anti Glare HD Laptop, Z8-284, 1.1 KG, Deep Blue","17,990",,Acer,1,Intel Celeron N4500 ,,256 GB SSD,,,Windows 11 Home
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","24,990",,Lenovo,1,,,512 GB SSD,"15.6"" FHD",,Windows 11 
"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS Gaming Laptop(NVIDIA RTX 3050-4GB/60W TGP/16GB RAM/512GB SSD/FHD/15.6""/144Hz/RGB KB/48WHr/Windows 11//Graphite Black/2.30 Kg) FA506NCR-HN054W","63,890",,ASUS,1,AMD Ryzen 7 7435HS Gaming Laptop,16 GB,512GB SSD,,,Windows 11
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021","33,890",,Lenovo,1,Intel Core i3 12th Gen 1215U - ,,512GB SSD,"14.0"" FHD",Intel UHD Graphics,Windows 11
"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg","30,670",,HP,1,Intel Core i3 13th Gen 1315U - ,,512GB SSD,,Intel UHD Graphics,
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","21,932",,Lenovo,1,Intel Celeron N4500 15,8 GB,256GB SSD,,,Windows 11 Home
"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W","56,990",,ASUS,1,AMD Ryzen 7 7435HS,,512GB SSD,,NVIDIA GeForce RTX,Windows 11 Home
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A324-45 with 35.56 cm (14"") HD Display, Pure Silver, 1.3 KG","21,490",,Acer,1,Intel Core Celeron N4500 Processor Laptop ,,256 GB SSD,,,
"HP 15s,12th Gen Intel Core i3-1215U, 8GB DDR4, 256GB SSD, Anti-Glare, Micro-Edge, 15.6-inch(39.6cm) FHD Laptop, Intel UHD Graphics, Full-Size KB (Win 11, Office 21, Silver, 1.69kg) fy5010tu","30,990",,HP,1,Intel Core i3-1215U,,256GB SSD,,Intel UHD Graphics,
"MSI Modern 14, Intel 12Th Gen. I7-1255U, 36Cm FHD 60Hz Laptop(16GB/512GB NVME SSD/Windows 11 Home/Bluetooth/Mso 2021/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12MO-1211IN","45,990",,MSI,1,,,,,Intel Iris Xe Graphics,Windows 11 Home
"Lenovo IdeaPad Slim 3, Intel Core i3, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office Home 2024, Arctic Grey, 1.63Kg, 82RK01ABIN, Intel UHD Graphics, 1Yr ADP Free Laptop","33,990",,Lenovo,2,Intel Core i3,8 GB,512GB SSD,,Intel UHD Graphics,Windows 11
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","50,499",,Lenovo,2,Intel Core i5-12450H,16 GB,512GB SSD,,,Windows 11
"Acer Aspire Lite, AMD Ryzen 3 5300U Processor (8GB RAM, 512GB SSD) Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Premium Thin and Light Laptop","26,890",,Acer,2,AMD Ryzen 3 5300U Processor ,8 GB,512GB SSD,,,Windows 11 Home
"HP 15, AMD Ryzen 3 7320U Laptop (8GB LPDDR5, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm,FHD, Win 11, Silver, 1.59kg, AMD Radeon Graphics, 1080p HD Camera, fc0154AU","29,760",,HP,2,AMD Ryzen 3 7320U Laptop ,,512GB SSD,,AMD Radeon Graphics,
"2022 Apple MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 16GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight","79,900",,2022,2,,16 GB,256GB SSD,,,
"Lenovo V15 Intel Core i7 12th Gen 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Iron Grey/1Y Onsite/1.7 kg), 82TT004VIH","44,990",,Lenovo,2,Intel Core i7 12th Gen 15,16 GB,512GB SSD,,,Windows 11 Home
"Primebook S 4G, 2025(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/128GB eMMC Storage, Black)","16,490",,Primebook,2,,,,,,
"Primebook 4G, 2025(New, WiFi+4G) Android Based MediaTek MT8788 - (PrimeOS) 4G SIM Slot, Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C, USB, HDMI, MicroSD) (4GB/64GB eMMC Storage, Black)","15,490",,Primebook,2,,,,,,
"Dell Inspiron 3530 Laptop, 13th Gen Intel Core i5-1334U Processor, 16GB, 512GB SSD, 15.6""(39.62cm) FHD 120Hz 250 nits, Backlit KB, Windows 11 + MSO'24 & 15 Month McAfee, Silver, Thin & Light- 1.62kg","57,528",,Dell,2,Intel Core i5-1334U Processor,,512GB SSD,,,Windows 11 
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop","51,390",,Lenovo,2,Intel Core i5-12450H 12th Gen,16 GB,512GB SSD,,,Windows 11
"Dell 15 3520 Thin & Light Laptop, Intel Core i3-1215U Processor, 12th Gen (8GB RAM /512GB SSD /Window 11 /MS Office' 21 /15.6""(39.62 Cm) FHD Display /Intel UHD Graphics/15 Month Mcafee /Black /1.69Kg","38,364",,Dell,2,Intel Core i3-1215U Processor,8 GB,512GB SSD,,Intel UHD Graphics,
"MSI Modern 14, Intel 12Th Gen. I7-1255U, 36Cm FHD 60Hz Laptop(16GB/512GB NVME SSD/Windows 11 Home/Bluetooth/Mso 2021/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12MO-1211IN","45,990",,MSI,2,,,,,Intel Iris Xe Graphics,Windows 11 Home
"Lenovo V15 AMD Ryzen 3 7320U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Arctic Grey/1.63 Kg), 83CQ000XIN","26,990",,Lenovo,2,AMD Ryzen 3 7320U 15,,512GB SSD,,,Windows 11 Home
"Apple 2025 MacBook Air (13-inch, Apple M4 chip with 10-core CPU and 8-core GPU, 16GB Unified Memory, 256GB) - Sky Blue","99,900",,Apple,2,,,,,,
"Lenovo V14 G3, 12th Gen Intel Core i7-1255U Upto 4.70Ghz (16GB RAM/512GB SSD/Windows 11) 14.0"" FHD Display Thin and Light Laptop/Iron Grey /1.70 kg 1 Year Onsite Brand Warranty","45,999",,Lenovo,2,Intel Core i7-1255U Upto 4,16 GB,512GB SSD,"14.0"" FHD",,Windows 11
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","17,990",,Chuwi,2,Intel Celeron N4020 Laptop with 8GB RAM,8 GB,256GB SSD,,,Windows 11
"HP 15 AMD Ryzen 3 7320U (8GB LPDDDR5 Ram/512GB NVMe M.2 SSD/Anti Glare, Micro Edge/15.6"" (39.6 Cm) FHD/Backlit Keyboard/Win11 Home+MS Office'21/ AMD Radeon Graphics, HD Camera/1.59Kg/Silver) Fc0026AU","30,970",,HP,2,AMD Ryzen 3 7320U ,,,,AMD Radeon Graphics,
"HP Smartchoice Omen, AMD Ryzen 9 7940HS, 8GB RTX 4070 AI-Powered Gaming Laptop (16GB DDR5, 1TB SSD) 165Hz, IPS, 300 nits, 16.1/40.9cm, FHD, Black, 2.38kg, RGB Backlit KB, B&O, xf0100AX","1,37,999",,HP,2,AMD Ryzen 9 7940HS,,1TB SSD,,,
"Lenovo Smartchoice LOQ, Intel Core i5-12450HX, 12th Gen, RTX 3050-6GB, 16GB RAM, 512GB SSD, FHD 144Hz 300Nits, 15.6""/39.6cm, Windows 11, MS Office 21, Grey, 2.4Kg, 83GS003UIN, Gaming Laptop","69,990",,Lenovo,2,Intel Core i5-12450HX,16 GB,512GB SSD,,,Windows 11
"Dell Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250nits, Standard Keyboard, Windows 11+MSO'21 & 15 Month McAfee, Black, 1.62kg","34,711",,Dell,2,Intel Core i3-1305U Processor,,512GB SSD,,,Windows 11
"Lenovo IdeaPad Slim 5 AMD Ryzen AI 7 350, Copilot+ AI PC(24GB RAM/1TB SSD/14(35.5cm) WUXGA OLED/AI Now/50TOPS/Win 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.4Kg), 83HX001NIN AI Laptop","86,231",,Lenovo,2,AMD Ryzen AI 7 350,24 GB,1TB SSD,,,
"Lenovo IdeaPad Slim 3 Ryzen 5 5625U 15.6"" (39.6cm) FHD Thin and Light Laptop (16GB RAM/512GB SSD/Integrated AMD Radeon Graphics/Windows 11/Office Home 2024/Grey/1.6Kg), 82XM00QDIN","42,489",,Lenovo,2,,16 GB,512GB SSD,,AMD Radeon Graphics,Windows 11
"Lenovo IdeaPad 3, Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MSOffice 2021, Arctic Grey, 1.43Kg, 82RJ00FUIN, 1 Year Warranty, 3months Game Pass, Thin& Light Laptop","32,990",,Lenovo,3,Intel Core i3-1215U,8 GB,512GB SSD,,,Windows 11
"Lenovo IdeaPad Slim 3, Intel Core i5-12450H 12th Gen, 16GB RAM, 512GB SSD, FHD 250Nits, 14""/35.5cm, Windows 11, MSOffice 21, Grey, 1.37Kg, 83EQ005VIN,1Yr Warranty,Alexa Built-in,3 mon. GamePass Laptop","51,390",,Lenovo,3,Intel Core i5-12450H 12th Gen,16 GB,512GB SSD,,,Windows 11
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible with MacBook Notebook Tablet Tray Desk Table Book with Free Phone Stand (Black),249,,STRIFF,3,,,,,,
"HP 255 G10 7000 Series AMD Ryzen 5 Quad Core 7520U 2.8Ghz Upto 4.3Ghz - (8 GB/512 GB SSD/Windows 11 / AMD Radeon Graphics) 255 G10 Thin and Light Laptop (15.6 inch, Matt Silver, 1.45 kg)","28,990",,HP,3,AMD Ryzen 5 Quad Core 7520U 2,,512 GB SSD,,AMD Radeon Graphics,Windows 11 
"EDNITA Mini Laptop Stand for Desk | Portable Metal PC Desk Stand, Aluminium Cooling Pad Mini Clip Compatible with MacBook Apple Laptop, Lenovo, Dell, Hp, Acer & Other Laptops Pack of-2 (Silver)",198,,EDNITA,3,,,,,,
"JioBook 11 with Lifetime Office/Android 4G Laptop Mediatek 8788 (JioOS) / Octa-core/ 4GB RAM / 64 eMMC Storage/Thin and Light Laptop (11.6 inch, 990 Grams)/ Dual Band WiFi + SIM/Blue","12,990",,JioBook,3,,4 GB,,,,
"Primebook S WiFi, 2025(New) Android Based MediaTek MT8183 - (PrimeOS) Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage)","14,490",,Primebook,3,,,,,,
"Lenovo V15 AMD Ryzen 7 7730U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (16GB/512GB SSD/Windows 11/Iron Grey/1.65 Kg) Grey","40,990",,Lenovo,3,AMD Ryzen 7 7730U 15,,512GB SSD,,,Windows 11
"Dell Inspiron 3530 Thin & Light Laptop,13th Gen Intel Core i7-1355U Processor,16GB & 512GB SSD,15.6"" (39.62cm) FHD Display,Backlit KB,Win 11 + Office H&S 2024 + M365 & 15 Month McAfee, Silver,1.62kg","70,604",,Dell,3,Intel Core i7-1355U Processor,,512GB SSD,,,
"Portronics My Buddy K Portable Laptop Stand with Adjustable Height, Foldable, OverHeating Protection for Laptops & MacBooks (Grey)",399,,Portronics,3,,,,,,
"Lenovo Smartchoice LOQ AMD Ryzen 5 7235HS | NVIDIA RTX 3050 6GB (24GB RAM/512GB SSD/15.6"" (39.6cm)/Windows 11/Office Home 2024/100% sRGB/3 Mon. Game Pass/Grey/2.4Kg), 83JC00EFIN Gaming Laptop","67,490",,Lenovo,3,AMD Ryzen 5 7235HS ,24 GB,512GB SSD,,,Windows 11
"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm, FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU","34,490",,HP,3,Intel Core i3-1215U Laptop ,,512GB SSD,,Intel UHD Graphics,
"Ant Esports NC230 RGB Gaming Notebook Cooler, 10"" - 17"" + Gaming Laptop Cooling Pad for PC + USB Powered Fan + Very Stable and Silent + Compatible Mac and PS5/PS4",659,,Ant,3,,,,,,
"HP 15, 13th Gen Intel Core i3-1315U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Grey, 1.59kg), Anti-Glare, Micro-Edge,15.6-inch(39.6cm), FHD Laptop, Intel UHD Graphics, 1080p FHD Camera, fd0006TU","37,690",,HP,3,Intel Core i3-1315U,,512GB SSD,,Intel UHD Graphics,
(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics),"24,699",,(Refurbished),3,Intel Core i5 Thin ,16 GB,512 GB SSD,,,Windows 11
"Cable World Educational Laptop Computer Toy for Kids Above 3 Years - 20 Fun Activity Learning Machine, Now Learn Letter, Words, Games, Mathematics, Music, Logic, Memory Tool,Pink",799,,Cable,3,,,,,,
Lenovo V15 Intel Celeron n4500 FHD 15.6 inch Laptop / 8GB DDR4 Ram and 256GB NVME SSD/Intel UHD Graphics/Windows 11 & MS-Office/Privacy Shutter/Black / 1.6kg / 1 Year Brand Warranty,"22,490",,Lenovo,3,Intel Celeron n4500 FHD 15,8 GB,,,Intel UHD Graphics,Windows 11 
"Cable World Educational Laptop Computer Toy Educational Computer for Kids Above 3 Years - 20 Fun Activity Learning Machine, Now Learn Letter, Words, Games, Mathematics, Music, Logic, Memory Tool,Blue",749,,Cable,3,,,,,,
"Lenovo V14 G3 14"" FHD Laptop, Intel Core i5-1235U, 16GB DDR4 RAM, 512GB SSD, Intel Iris Xe Graphics, Windows 11, Ms-Office Lifetime Validity, Iron Grey,1.6kg, 1 Year Onsite Brand Warranty","41,990",,Lenovo,3,Intel Core i5-1235U,16 GB,512GB SSD,"14"" FHD",Intel Iris Xe Graphics,Windows 11
"Dyazo 6 Angles Adjustable Aluminum Ergonomic Foldable Portable Tabletop Laptop/Desktop Riser Stand Holder Compatible for MacBook, HP, Dell, Lenovo & All Other Notebook (Silver)",349,,Dyazo,3,,,,,,
"acer Professional 14, AMD Ryzen 3-7330U, 16GB RAM, 512GB SSD, 14"" Full HD,UHD Graphics, Premium Metal Body, Ultra Durable, Windows 11 Pro, MSO 21 pro, 1.34KG, TL14-42M, Light Laptop","32,790",,acer,3,AMD Ryzen 3-7330U,16 GB,512GB SSD,,,Windows 11 Pro
"CHUWI CoreBook X Pro Laptop 12thGen i5-12450H Processor 15.6"" Laptop with 16GB DDR4 RAM and 512GB SSD, FHD Display, Backlit Keyboard, Windows 11, Gray, 3xUSB3.0,1xHDMI,SD Card Slot,3.5MM,Camera Switch","33,990",,CHUWI,3,,16 GB,512GB SSD,,,Windows 11
Microsoft New Surface Laptop (7th Edition) - Windows 11 Home Copilot + PC - 13.8” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Plus (10 Core) - 16GB RAM - 256GB SSD - Platinum - ZGJ-00023,"1,08,990",,Microsoft,4,,16 GB,256GB SSD,,,Windows 11 Home
"HP Pavilion x360, 13th Gen Intel Core i5-1335U, 14-inch (35.6 cm), FHD, Touchscreen, 16GB DDR4, 1TB SSD, FPR, 5 MP Camera, Backlit KB, Audio by B&O, Pen (Win 11, MSO 2021, Silver, 1.51 kg), ek1010TU","75,990",,HP,4,Intel Core i5-1335U,,1TB SSD,,,
"HP 255 G9 Ryzen 3 Dual Core AMD Ryzen 3 Processor 3250U - (8 GB/512 GB SSD/AMD Radeon Graphics) 9H237PT Thin and Light Laptop (15.6 inch, Black, 1.47 kg)","23,980",,HP,4,AMD Ryzen 3 Processor 3250U - ,,512 GB SSD,,AMD Radeon Graphics,
"ACER One 14 AMD Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) Z2-493 Thin and Light Laptop (14 inch HD Display, Silver, 1.5 Kg) 2 Years Brand Warranty","22,999",,ACER,4,AMD Ryzen 3 Dual Core 3250U - ,,512 GB SSD,14 inch HD,,Windows 11 Home
"HP Victus Gaming Laptop, 12th Gen Intel Core i7-12650H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, B&O, Dual Speakers (MSO, Silver, 2.29 kg), fa0187TX","74,990",,HP,4,Intel Core i7-12650H,,1TB SSD,,,
"ASUS VivoBook 15 (2022), Intel Core i3-1215U, 12th Gen, 8GB RAM, 512GB SSD, FHD, 15.6""/39.62cm, Windows 11, Office 2021, Cool Silver, 1.7KG, X1504ZA-NJ322WS, Backlit KB Laptop","30,990",,ASUS,4,Intel Core i3-1215U,8 GB,512GB SSD,,,Windows 11
"Sounce 3 in 1 Cleaning Set for Screen PC, Laptops, Monitors, Mobiles, LCD, LED, TV/Professional Quality/Prevents Static Electricity, 100ml with Micro Fiber Cloth and Soft Brush",149,,Sounce,4,,,,,,
"Dell (Smartchoice) Inspiron 3530 Thin & Light Laptop, 13th Gen Intel Core i5-1334U Processor,16GB, 1TB SSD, 15.6"" (39.62cm) FHD Display, Backlit KB, Windows 11 + MSO'24 & 15 Month McAfee,Silver,1.62kg","56,800",,Dell,4,Intel Core i5-1334U Processor,,1TB SSD,,,Windows 11 
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU","41,800",,HP,4,AMD Ryzen 5 7520U,,512GB SSD,,AMD Radeon Graphics,
"Chuwi FreeBook 13.5 Inch 2 in 1 Touchscreen Laptop,Flipped 360 Degree, Windows 11,Intel Core i3-1215U 12th gen, 46.2Wh, 12 GB RAM LPDDR4 512 GB SSD Expandable Upto 1 TB, Backlit Keyboard","30,990",,Chuwi,4,Intel Core i3-1215U 12th gen,12 GB,512 GB SSD,,,Windows 11
"Lenovo ThinkPad E14 AMD Ryzen 5 7530U 14"" (35.56 cm) WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Win 11 Home/AMD Radeon Graphics/Backlit/FPR/Office H&S 2021/Black/1.41 kg), 21JRS00T00","47,990",,Lenovo,4,AMD Ryzen 5 7530U 14,8 GB,512GB SSD,,AMD Radeon Graphics,
"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam","17,990",,Chuwi,4,Intel Celeron N4020 Laptop with 8GB RAM,8 GB,256GB SSD,,,Windows 11
"Samsung Galaxy Book3 Pro Intel 13th Gen i7 EvoTM 35.56cm(14"") Dynamic Amoled 2X, 3K Display, 120Hz, Ultra Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/Graphite/1.17Kg)","1,40,124",,Samsung,4,,,512 GB SSD,,,Windows 11
"LS LAPSTER Quality Assured Universal Silicone 15.6"" Keyboard Protector Skin|| Keyboard Dust Cover|| Keyboard Skin for 15.6"" Laptop| 15.6"" Keyguard| (3.93 x 11.81 x 0.39 inches)",99,,LS,4,,,,,,
"Lenovo Thinkbook 16 G6 AMD Ryzen 5 16"" Wuxga IPS Antiglare 300 NITS Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Fingerprint/Office 2021/Arctic Grey/1 Year Onsite/1.7 Kg), 21KKA07RIN","47,490",,Lenovo,4,AMD Ryzen 5 16,16 GB,512GB SSD,,,Windows 11 Home
"AIMIUZI Laptop Cooling Pad Laptop Cooler Stand, Laptop Fan Cooling Pad for 12-15.6 Inch Laptop Notebooks, 5 Quiet Fans, 5 Angle Adjustable Laptop Cooling Stand (Black)","1,250",,AIMIUZI,4,,,,,,
"Dyazo Water Resistant Laptop Sleeve/Laptop case/laptop cover with Handle Compatible for 15 Inch to 15.6"" Inches laptops & Notebooks - Grey",299,,Dyazo,4,,,,,,
"boAt EnergyShroom PB600 PowerPulse 27000mAh Power Bank| 160W Total Output, 2xUSB-C (2-Way Port), 2xUSB-A Port, 100W Type-C to C Cable, Compatible w/Laptop, Smartphone, Tablets Earphone,Watch(Gunmetal)","4,399",,boAt,4,,,,,,
"Samsung Galaxy Book3 Pro Intel 13th Gen i5 EvoTM 35.56cm(14"") Dynamic Amoled 2X, 3K Display, 120Hz, Ultra Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/Graphite/1.17Kg), NP940XFG-KC1IN","79,999",,Samsung,4,,,512 GB SSD,,,Windows 11
"Lenovo Gx20K78585 65W Laptop Adapter/Charger with Power Cord for Select Models (Round Pin), Black","1,139",,Lenovo,4,,,,,,
"HP 15,13th Gen Intel Core i7-1355U Laptop,(16GB DDR4, 512GB SSD) Antiglare, 15.6’’/39.6cm, FHD, Win11, M365 Basic(1yr), Office Home 24, Silver, 1.59kg, Iris Xe, FHD Camera w/Shutter, Backlit, fd0468tu","68,490",,HP,4,Intel Core i7-1355U Laptop,,512GB SSD,,,
"Chuwi GemiBook X Pro 14.1"" Laptop, 8GB LPDDR5 RAM 256GB SSD, Windows 11, Intel 12th Gen N100(up to 3.4GHz), WiFi 6, USB3.0, Webcam, Bluetooth 5.2, 38Wh, 1.46kg (Iron Gray)","18,990",,Chuwi,4,,,256GB SSD,,,Windows 11
